Sample	Target.Peptide	Glycoform	Monoisotopic.Mass	Number.of.Charge.States	RT.Range	Sum.Intensity	Rel.Abundance_ann
Output_file_@IgM_site1	IgM_site1	NA	2428.99577663	2	6.204-8.106	3326.05	NA
Output_file_@IgM_site1	IgM_site1	NA	2432.91807663	1	6.204-8.106	1055.42	NA
Output_file_@IgM_site1	IgM_site1	NA	2433.93327663	2	6.204-8.106	6596.4	NA
Output_file_@IgM_site1	IgM_site1	NA	2437.04457663	1	6.204-8.106	438.84	NA
Output_file_@IgM_site1	IgM_site1	NA	2440.96967663	1	6.204-8.106	2893.17	NA
Output_file_@IgM_site1	IgM_site1	NA	2444.00237663	1	6.204-8.106	2700.01	NA
Output_file_@IgM_site1	IgM_site1	NA	2477.99277663	1	6.204-8.106	5375.43	NA
Output_file_@IgM_site1	IgM_site1	NA	2492.98487663	1	6.204-8.106	1690.91	NA
Output_file_@IgM_site1	IgM_site1	NA	2499.97917663	1	6.204-8.106	1350.76	NA
Output_file_@IgM_site1	IgM_site1	NA	2514.96297663	1	6.204-8.106	1429.01	NA
Output_file_@IgM_site1	IgM_site1	H3N3F@GnMF_oder_MMF(bi)	2526.07067663	2	6.204-8.106	92546.88	7.55906715761285
Output_file_@IgM_site1	IgM_site1	H4N3@Man4Gn_oder_AM	2542.06647663	2	6.204-8.106	29829.36	2.43640990931958
Output_file_@IgM_site1	IgM_site1	NA	2548.05467663	2	6.204-8.106	5216.1	NA
Output_file_@IgM_site1	IgM_site1	NA	2558.06047663	2	6.204-8.106	4502.04	NA
Output_file_@IgM_site1	IgM_site1	NA	2564.02607663	2	6.204-8.106	4766.1	NA
Output_file_@IgM_site1	IgM_site1	NA	2571.05197663	2	6.204-8.106	1577.19	NA
Output_file_@IgM_site1	IgM_site1	NA	2574.05897663	2	6.204-8.106	2048.32	NA
Output_file_@IgM_site1	IgM_site1	H3N4@GnGn_	2583.09447663	2	6.204-8.106	198931.94	16.2484126342693
Output_file_@IgM_site1	IgM_site1	NA	2599.08217663	1	6.204-8.106	1255.87	NA
Output_file_@IgM_site1	IgM_site1	NA	2605.07417663	1	6.204-8.106	12649.84	NA
Output_file_@IgM_site1	IgM_site1	NA	2615.07967663	2	6.204-8.106	8329.54	NA
Output_file_@IgM_site1	IgM_site1	NA	2621.04487663	2	6.204-8.106	7725.88	NA
Output_file_@IgM_site1	IgM_site1	NA	2627.07017663	2	6.204-8.106	4079.79	NA
Output_file_@IgM_site1	IgM_site1	H4N3F@AMF_	2688.12107663	1	6.204-8.106	1987.58	0.162342055195466
Output_file_@IgM_site1	IgM_site1	H5N3@Man5Gn	2704.11787663	2	6.204-8.106	3437.9	0.280801654049896
Output_file_@IgM_site1	IgM_site1	H3N4F@GnGnF_oder_GnMF(bi)	2729.15007663	2	6.204-8.106	151992.78	12.4145042111876
Output_file_@IgM_site1	IgM_site1	H4N4@AGn_oder_GnMan4(bi)	2745.14367663	1	6.204-8.106	4517.61	0.368990476847014
Output_file_@IgM_site1	IgM_site1	NA	2751.12827663	2	6.204-8.106	9473.17	NA
Output_file_@IgM_site1	IgM_site1	NA	2761.13717663	1	6.204-8.106	4771.89	NA
Output_file_@IgM_site1	IgM_site1	NA	2767.10307663	2	6.204-8.106	6028.16	NA
Output_file_@IgM_site1	IgM_site1	NA	2773.12737663	1	6.204-8.106	3179.65	NA
Output_file_@IgM_site1	IgM_site1	NA	2779.14327663	1	6.204-8.106	977.82	NA
Output_file_@IgM_site1	IgM_site1	NA	2783.09427663	1	6.204-8.106	835.99	NA
Output_file_@IgM_site1	IgM_site1	NA	2791.13577663	1	6.204-8.106	1089.51	NA
Output_file_@IgM_site1	IgM_site1	NA	2800.08187663	1	6.204-8.106	632.14	NA
Output_file_@IgM_site1	IgM_site1	H7N2@Man7	2825.14467663	1	6.204-8.106	1760.33	0.143780672990387
Output_file_@IgM_site1	IgM_site1	NA	2867.26737663	1	6.204-8.106	1799.12	NA
Output_file_@IgM_site1	IgM_site1	H8N2@Man8_	2987.19397663	2	6.204-8.106	20686.97	1.68967549762371
Output_file_@IgM_site1	IgM_site1	NA	3037.25887663	1	6.204-8.106	1003.58	NA
Output_file_@IgM_site1	IgM_site1	H9N2@Man9	3149.24657663	1	6.204-8.106	25893.18	2.11490961709523
Output_file_@IgM_site1	IgM_site1	NA	3171.22647663	1	6.204-8.106	2141.68	NA
Output_file_@IgM_site1	IgM_site1	NA	3181.23507663	2	6.204-8.106	2966.37	NA
Output_file_@IgM_site1	IgM_site1	NA	3187.20467663	1	6.204-8.106	758.73	NA
Output_software_@IgG	IgG	NA	503.10537663	1	8.025-9.581	63266.37	NA
Output_software_@IgG	IgG	NA	505.10307663	1	8.025-9.581	19199.33	NA
Output_software_@IgG	IgG	NA	506.23567663	1	8.025-9.581	10050.18	NA
Output_software_@IgG	IgG	NA	507.09597663	1	8.025-9.581	3038.26	NA
Output_software_@IgG	IgG	NA	512.30507663	1	8.025-9.581	4393.56	NA
Output_software_@IgG	IgG	NA	517.30867663	1	8.025-9.581	2270.21	NA
Output_software_@IgG	IgG	NA	519.13647663	1	8.025-9.581	94135.49	NA
Output_software_@IgG	IgG	NA	521.13447663	1	8.025-9.581	29889.54	NA
Output_software_@IgG	IgG	NA	524.30817663	1	8.025-9.581	5293.89	NA
Output_software_@IgG	IgG	NA	525.10587663	1	8.025-9.581	9998.56	NA
Output_software_@IgG	IgG	NA	525.21837663	1	8.025-9.581	1384.64	NA
Output_software_@IgG	IgG	NA	526.26127663	1	8.025-9.581	12517.45	NA
Output_software_@IgG	IgG	NA	530.32967663	1	8.025-9.581	8685.61	NA
Output_software_@IgG	IgG	NA	531.31307663	1	8.025-9.581	4251.61	NA
Output_software_@IgG	IgG	NA	536.16267663	1	8.025-9.581	9859.8	NA
Output_software_@IgG	IgG	NA	546.27797663	1	8.025-9.581	140411.72	NA
Output_software_@IgG	IgG	NA	547.30807663	1	8.025-9.581	10514.35	NA
Output_software_@IgG	IgG	NA	554.28207663	1	8.025-9.581	4697.4	NA
Output_software_@IgG	IgG	NA	560.06587663	1	8.025-9.581	2511.48	NA
Output_software_@IgG	IgG	NA	564.31427663	1	8.025-9.581	6195.53	NA
Output_software_@IgG	IgG	NA	567.28767663	1	8.025-9.581	9649.05	NA
Output_software_@IgG	IgG	NA	568.26007663	1	8.025-9.581	4068.51	NA
Output_software_@IgG	IgG	NA	575.33987663	1	8.025-9.581	4464.61	NA
Output_software_@IgG	IgG	NA	576.31837663	1	8.025-9.581	11284.14	NA
Output_software_@IgG	IgG	NA	577.12427663	1	8.025-9.581	21613.37	NA
Output_software_@IgG	IgG	NA	589.36527663	1	8.025-9.581	4707.68	NA
Output_software_@IgG	IgG	NA	607.31077663	1	8.025-9.581	3690.67	NA
Output_software_@IgG	IgG	NA	610.18047663	1	8.025-9.581	5301.66	NA
Output_software_@IgG	IgG	NA	614.36257663	1	8.025-9.581	3907.47	NA
Output_software_@IgG	IgG	NA	632.32387663	1	8.025-9.581	2281.07	NA
Output_software_@IgG	IgG	NA	644.39717663	1	8.025-9.581	9721.69	NA
Output_software_@IgG	IgG	NA	651.14167663	1	8.025-9.581	4298.29	NA
Output_software_@IgG	IgG	NA	659.33757663	1	8.025-9.581	4658.46	NA
Output_software_@IgG	IgG	NA	667.17337663	1	8.025-9.581	6942.42	NA
Output_software_@IgG	IgG	NA	670.38537663	1	8.025-9.581	10778.9	NA
Output_software_@IgG	IgG	NA	676.34327663	1	8.025-9.581	9935.67	NA
Output_software_@IgG	IgG	NA	679.32887663	1	8.025-9.581	13045.48	NA
Output_software_@IgG	IgG	NA	685.39957663	1	8.025-9.581	8348.74	NA
Output_software_@IgG	IgG	NA	691.25047663	1	8.025-9.581	1952.43	NA
Output_software_@IgG	IgG	NA	703.22797663	1	8.025-9.581	14629.86	NA
Output_software_@IgG	IgG	NA	730.31467663	1	8.025-9.581	18740.18	NA
Output_software_@IgG	IgG	NA	743.39177663	1	8.025-9.581	4415.14	NA
Output_software_@IgG	IgG	NA	745.40867663	1	8.025-9.581	220880.85	NA
Output_software_@IgG	IgG	NA	746.36877663	1	8.025-9.581	6876.63	NA
Output_software_@IgG	IgG	NA	749.36017663	1	8.025-9.581	4482.67	NA
Output_software_@IgG	IgG	NA	751.17847663	1	8.025-9.581	16019.8	NA
Output_software_@IgG	IgG	NA	764.41617663	1	8.025-9.581	2662.16	NA
Output_software_@IgG	IgG	NA	767.38957663	1	8.025-9.581	3604.13	NA
Output_software_@IgG	IgG	NA	775.38317663	1	8.025-9.581	3094.14	NA
Output_software_@IgG	IgG	NA	777.39667663	1	8.025-9.581	3181.2	NA
Output_software_@IgG	IgG	NA	803.36727663	1	8.025-9.581	28225.16	NA
Output_software_@IgG	IgG	NA	804.36567663	1	8.025-9.581	5734.6	NA
Output_software_@IgG	IgG	NA	807.38787663	1	8.025-9.581	3128.59	NA
Output_software_@IgG	IgG	NA	811.44147663	1	8.025-9.581	9038.43	NA
Output_software_@IgG	IgG	NA	820.41597663	1	8.025-9.581	28743.26	NA
Output_software_@IgG	IgG	NA	863.48507663	1	8.025-9.581	13438.85	NA
Output_software_@IgG	IgG	NA	865.49227663	1	8.025-9.581	1500.27	NA
Output_software_@IgG	IgG	NA	870.85697663	1	8.025-9.581	1789.16	NA
Output_software_@IgG	IgG	NA	931.42677663	1	8.025-9.581	19756.12	NA
Output_software_@IgG	IgG	NA	959.52697663	1	8.025-9.581	2450.25	NA
Output_software_@IgG	IgG	NA	964.53307663	1	8.025-9.581	7824.34	NA
Output_software_@IgG	IgG	NA	984.54827663	1	8.025-9.581	12828.37	NA
Output_software_@IgG	IgG	NA	988.49647663	1	8.025-9.581	1057.24	NA
Output_software_@IgG	IgG	NA	1002.45797663	1	8.025-9.581	997.89	NA
Output_software_@IgG	IgG	NA	1018.55137663	1	8.025-9.581	3529.57	NA
Output_software_@IgG	IgG	NA	1024.55277663	1	8.025-9.581	11961.52	NA
Output_software_@IgG	IgG	NA	1041.40217663	1	8.025-9.581	4367.49	NA
Output_software_@IgG	IgG	NA	1041.91137663	1	8.025-9.581	2735.91	NA
Output_software_@IgG	IgG	NA	1060.46707663	2	8.025-9.581	2117.54	NA
Output_software_@IgG	IgG	NA	1118.42397663	1	8.025-9.581	2096.5	NA
Output_software_@IgG	IgG	NA	1136.46147663	1	8.025-9.581	647.31	NA
Output_software_@IgG	IgG	NA	1138.59517663	1	8.025-9.581	3242.74	NA
Output_software_@IgG	IgG	NA	1144.51297663	1	8.025-9.581	807.72	NA
Output_software_@IgG	IgG	NA	1155.47577663	1	8.025-9.581	2095.87	NA
Output_software_@IgG	IgG	NA	1171.50027663	1	8.025-9.581	51885.81	NA
Output_software_@IgG	IgG	NA	1174.49727663	1	8.025-9.581	824.15	NA
Output_software_@IgG	IgG	NA	1188.96687663	1	8.025-9.581	34216.51	NA
Output_software_@IgG	IgG	not-glycosylated	1189.50967663	2	8.025-9.581	3638806.96	24.8015082276222
Output_software_@IgG	IgG	NA	1191.96237663	1	8.025-9.581	1832.73	NA
Output_software_@IgG	IgG	NA	1203.48867663	1	8.025-9.581	22556.13	NA
Output_software_@IgG	IgG	NA	1205.50317663	1	8.025-9.581	53769.55	NA
Output_software_@IgG	IgG	NA	1211.48677663	1	8.025-9.581	58929.18	NA
Output_software_@IgG	IgG	NA	1212.48587663	1	8.025-9.581	28950.11	NA
Output_software_@IgG	IgG	NA	1213.47037663	1	8.025-9.581	40494.38	NA
Output_software_@IgG	IgG	NA	1216.46567663	1	8.025-9.581	863.19	NA
Output_software_@IgG	IgG	NA	1217.97637663	1	8.025-9.581	2993.99	NA
Output_software_@IgG	IgG	NA	1219.48477663	1	8.025-9.581	2817.41	NA
Output_software_@IgG	IgG	NA	1221.49787663	1	8.025-9.581	28895.13	NA
Output_software_@IgG	IgG	NA	1222.46277663	1	8.025-9.581	21369.47	NA
Output_software_@IgG	IgG	NA	1223.50317663	1	8.025-9.581	2513.26	NA
Output_software_@IgG	IgG	NA	1227.45697663	1	8.025-9.581	124909.29	NA
Output_software_@IgG	IgG	NA	1227.94947663	1	8.025-9.581	2970.52	NA
Output_software_@IgG	IgG	NA	1228.52007663	1	8.025-9.581	6868.43	NA
Output_software_@IgG	IgG	NA	1230.52947663	1	8.025-9.581	4435.65	NA
Output_software_@IgG	IgG	NA	1231.45307663	1	8.025-9.581	2366.74	NA
Output_software_@IgG	IgG	NA	1232.47447663	1	8.025-9.581	7309.03	NA
Output_software_@IgG	IgG	NA	1237.49447663	1	8.025-9.581	3439.18	NA
Output_software_@IgG	IgG	NA	1238.42687663	1	8.025-9.581	3026.82	NA
Output_software_@IgG	IgG	NA	1239.50527663	1	8.025-9.581	2982.04	NA
Output_software_@IgG	IgG	NA	1243.42497663	1	8.025-9.581	44759.17	NA
Output_software_@IgG	IgG	NA	1246.42807663	1	8.025-9.581	1339.15	NA
Output_software_@IgG	IgG	NA	1246.53287663	1	8.025-9.581	7003.79	NA
Output_software_@IgG	IgG	NA	1247.42527663	1	8.025-9.581	1859.98	NA
Output_software_@IgG	IgG	NA	1249.43527663	1	8.025-9.581	11000.81	NA
Output_software_@IgG	IgG	NA	1251.42897663	1	8.025-9.581	2659.4	NA
Output_software_@IgG	IgG	NA	1254.42867663	1	8.025-9.581	2458.56	NA
Output_software_@IgG	IgG	NA	1255.44677663	1	8.025-9.581	2065.38	NA
Output_software_@IgG	IgG	NA	1259.43287663	1	8.025-9.581	772.48	NA
Output_software_@IgG	IgG	NA	1265.40577663	1	8.025-9.581	10867.61	NA
Output_software_@IgG	IgG	NA	1268.51967663	1	8.025-9.581	556.35	NA
Output_software_@IgG	IgG	NA	1271.42147663	1	8.025-9.581	6381	NA
Output_software_@IgG	IgG	NA	1271.95577663	1	8.025-9.581	737.95	NA
Output_software_@IgG	IgG	NA	1281.37197663	1	8.025-9.581	3192.97	NA
Output_software_@IgG	IgG	NA	1315.40607663	1	8.025-9.581	885.75	NA
Output_software_@IgG	IgG	NA	1325.43407663	1	8.025-9.581	2096.06	NA
Output_software_@IgG	IgG	NA	1363.37987663	1	8.025-9.581	901.24	NA
Output_software_@IgG	IgG	NA	1369.39217663	1	8.025-9.581	1653.13	NA
Output_software_@IgG	IgG	N1@single-GlcNAc_(Gn)	1392.58627663	1	8.025-9.581	7327.01	0.0499396919914845
Output_software_@IgG	IgG	NA	1459.05537663	1	8.025-9.581	3454.22	NA
Output_software_@IgG	IgG	NA	1463.05627663	1	8.025-9.581	6019.65	NA
Output_software_@IgG	IgG	NA	1491.58377663	1	8.025-9.581	2296.01	NA
Output_software_@IgG	IgG	NA	1595.66627663	1	8.025-9.581	6531.23	NA
Output_software_@IgG	IgG	NA	1791.73097663	1	8.025-9.581	3564.21	NA
Output_software_@IgG	IgG	NA	1807.83127663	2	8.025-9.581	33290.89	NA
Output_software_@IgG	IgG	H2N2@MU_	1919.77397663	1	8.025-9.581	9527.02	0.06493459738648
Output_software_@IgG	IgG	H2N2X@MUX_	2051.81417663	1	8.025-9.581	76581.71	0.521968307615411
Output_software_@IgG	IgG	H3N2@MM_	2081.82177663	1	8.025-9.581	3660.05	0.0249462972854456
Output_software_@IgG	IgG	NA	2122.84947663	1	8.025-9.581	50239.11	NA
Output_software_@IgG	IgG	H2N2XF@MUXF_	2197.88247663	1	8.025-9.581	1234.97	0.00841735188279034
Output_software_@IgG	IgG	H3N2X@MMX_	2213.86817663	2	8.025-9.581	194346.22	1.32463178929868
Output_software_@IgG	IgG	NA	2228.87727663	1	8.025-9.581	5462.66	NA
Output_software_@IgG	IgG	NA	2235.83747663	2	8.025-9.581	5283.55	NA
Output_software_@IgG	IgG	H4N2@Man4	2243.87987663	2	8.025-9.581	47709.26	0.325178449263977
Output_software_@IgG	IgG	NA	2251.81267663	1	8.025-9.581	5827.77	NA
Output_software_@IgG	IgG	NA	2254.89487663	2	8.025-9.581	180798.77	NA
Output_software_@IgG	IgG	NA	2266.79437663	1	8.025-9.581	2038.57	NA
Output_software_@IgG	IgG	NA	2268.90077663	1	8.025-9.581	3332.62	NA
Output_software_@IgG	IgG	NA	2276.85657663	1	8.025-9.581	1489.38	NA
Output_software_@IgG	IgG	NA	2281.83057663	1	8.025-9.581	978.43	NA
Output_software_@IgG	IgG	H3N3@GnM_	2284.90397663	2	8.025-9.581	122203.13	0.832916383708408
Output_software_@IgG	IgG	NA	2292.83907663	1	8.025-9.581	4848.1	NA
Output_software_@IgG	IgG	NA	2308.84847663	1	8.025-9.581	1285.32	NA
Output_software_@IgG	IgG	NA	2322.84937663	1	8.025-9.581	4945.51	NA
Output_software_@IgG	IgG	NA	2337.81407663	1	8.025-9.581	1622.26	NA
Output_software_@IgG	IgG	H3N2XF@MMXF	2359.93057663	2	8.025-9.581	56627.28	0.38596220306995
Output_software_@IgG	IgG	NA	2375.92497663	1	8.025-9.581	1768.06	NA
Output_software_@IgG	IgG	NA	2389.93127663	1	8.025-9.581	4780.52	NA
Output_software_@IgG	IgG	NA	2397.88377663	1	8.025-9.581	1590.48	NA
Output_software_@IgG	IgG	NA	2397.90377663	1	8.025-9.581	7323.71	NA
Output_software_@IgG	IgG	NA	2400.95597663	1	8.025-9.581	23932.8	NA
Output_software_@IgG	IgG	H5N2@Man5	2405.93277663	2	8.025-9.581	347817.61	2.37066747726757
Output_software_@IgG	IgG	H3N3X@GnMX_	2416.94737663	3	8.025-9.581	2272286.88	15.4875326911648
Output_software_@IgG	IgG	NA	2427.91647663	2	8.025-9.581	21806.82	NA
Output_software_@IgG	IgG	NA	2431.93457663	2	8.025-9.581	55564.34	NA
Output_software_@IgG	IgG	NA	2434.94547663	1	8.025-9.581	5282.81	NA
Output_software_@IgG	IgG	NA	2438.92387663	2	8.025-9.581	139398.92	NA
Output_software_@IgG	IgG	NA	2443.88847663	1	8.025-9.581	7658.97	NA
Output_software_@IgG	IgG	H4N3@Man4Gn_oder_AM	2446.95667663	2	8.025-9.581	181872.82	1.23961515166797
Output_software_@IgG	IgG	NA	2449.95007663	1	8.025-9.581	29558.59	NA
Output_software_@IgG	IgG	NA	2454.89267663	2	8.025-9.581	152985.59	NA
Output_software_@IgG	IgG	NA	2460.91587663	2	8.025-9.581	51038.6	NA
Output_software_@IgG	IgG	NA	2466.95007663	1	8.025-9.581	21788.35	NA
Output_software_@IgG	IgG	NA	2470.85877663	2	8.025-9.581	55533.21	NA
Output_software_@IgG	IgG	NA	2475.86957663	1	8.025-9.581	1847.59	NA
Output_software_@IgG	IgG	NA	2478.94737663	1	8.025-9.581	17682.54	NA
Output_software_@IgG	IgG	NA	2480.88187663	1	8.025-9.581	1720.76	NA
Output_software_@IgG	IgG	NA	2481.94467663	1	8.025-9.581	5024.77	NA
Output_software_@IgG	IgG	H3N4@GnGn_	2487.98387663	3	8.025-9.581	1110017	7.56569283859469
Output_software_@IgG	IgG	NA	2492.84697663	1	8.025-9.581	2535.35	NA
Output_software_@IgG	IgG	NA	2495.95637663	1	8.025-9.581	3153.21	NA
Output_software_@IgG	IgG	NA	2497.94347663	1	8.025-9.581	1731.86	NA
Output_software_@IgG	IgG	NA	2498.84327663	1	8.025-9.581	1339.28	NA
Output_software_@IgG	IgG	NA	2499.94957663	1	8.025-9.581	3637.43	NA
Output_software_@IgG	IgG	NA	2501.97297663	1	8.025-9.581	9871.37	NA
Output_software_@IgG	IgG	NA	2503.97747663	2	8.025-9.581	24974.45	NA
Output_software_@IgG	IgG	NA	2508.80937663	1	8.025-9.581	1138.15	NA
Output_software_@IgG	IgG	NA	2509.96227663	2	8.025-9.581	80060.48	NA
Output_software_@IgG	IgG	NA	2514.95977663	1	8.025-9.581	7078.59	NA
Output_software_@IgG	IgG	NA	2517.96587663	1	8.025-9.581	6864.13	NA
Output_software_@IgG	IgG	NA	2519.97767663	2	8.025-9.581	45695.84	NA
Output_software_@IgG	IgG	NA	2525.93057663	3	8.025-9.581	83134	NA
Output_software_@IgG	IgG	NA	2531.93497663	1	8.025-9.581	9581	NA
Output_software_@IgG	IgG	NA	2531.95247663	1	8.025-9.581	21702.81	NA
Output_software_@IgG	IgG	NA	2535.97517663	1	8.025-9.581	6523.63	NA
Output_software_@IgG	IgG	NA	2537.98317663	1	8.025-9.581	17903.1	NA
Output_software_@IgG	IgG	NA	2541.89797663	2	8.025-9.581	29744.27	NA
Output_software_@IgG	IgG	NA	2547.89607663	1	8.025-9.581	1584.15	NA
Output_software_@IgG	IgG	NA	2548.98567663	1	8.025-9.581	7563.44	NA
Output_software_@IgG	IgG	NA	2551.97567663	1	8.025-9.581	8217.07	NA
Output_software_@IgG	IgG	NA	2552.88897663	1	8.025-9.581	1471.15	NA
Output_software_@IgG	IgG	NA	2557.90667663	1	8.025-9.581	900.75	NA
Output_software_@IgG	IgG	H3N3XF@GnMXF_	2563.01107663	1	8.025-9.581	84591.04	0.57655858021749
Output_software_@IgG	IgG	H6N2@Man6	2567.99077663	2	8.025-9.581	110774.5	0.75502072612303
Output_software_@IgG	IgG	H4N3X@AMX_	2579.00137663	2	8.025-9.581	312248.25	2.12823258462593
Output_software_@IgG	IgG	NA	2585.99117663	2	8.025-9.581	9861.4	NA
Output_software_@IgG	IgG	NA	2589.96107663	1	8.025-9.581	1488.92	NA
Output_software_@IgG	IgG	NA	2589.99277663	1	8.025-9.581	8698.54	NA
Output_software_@IgG	IgG	NA	2594.00297663	1	8.025-9.581	18008.5	NA
Output_software_@IgG	IgG	NA	2600.98857663	2	8.025-9.581	42289.5	NA
Output_software_@IgG	IgG	NA	2605.93667663	1	8.025-9.581	2172.84	NA
Output_software_@IgG	IgG	H5N3@Man5Gn	2609.01507663	2	8.025-9.581	121060.52	0.825128542356153
Output_software_@IgG	IgG	NA	2619.71097663	1	8.025-9.581	6113.04	NA
Output_software_@IgG	IgG	H3N4X@GnGnX_	2620.02697663	3	8.025-9.581	4318162.81	29.4318856805823
Output_software_@IgG	IgG	NA	2630.93927663	1	8.025-9.581	1661.74	NA
Output_software_@IgG	IgG	NA	2631.00057663	1	8.025-9.581	14487.78	NA
Output_software_@IgG	IgG	NA	2635.02617663	2	8.025-9.581	137733.51	NA
Output_software_@IgG	IgG	NA	2642.00447663	3	8.025-9.581	328994.68	NA
Output_software_@IgG	IgG	NA	2644.99287663	1	8.025-9.581	628.99	NA
Output_software_@IgG	IgG	NA	2651.03117663	2	8.025-9.581	183879.2	NA
Output_software_@IgG	IgG	NA	2654.02427663	1	8.025-9.581	27460.75	NA
Output_software_@IgG	IgG	NA	2657.97267663	3	8.025-9.581	322687.65	NA
Output_software_@IgG	IgG	NA	2663.99417663	3	8.025-9.581	117240.43	NA
Output_software_@IgG	IgG	NA	2669.02017663	1	8.025-9.581	40163.66	NA
Output_software_@IgG	IgG	NA	2673.93987663	3	8.025-9.581	124956.86	NA
Output_software_@IgG	IgG	NA	2679.94617663	1	8.025-9.581	5863.51	NA
Output_software_@IgG	IgG	NA	2680.99627663	1	8.025-9.581	15463.47	NA
Output_software_@IgG	IgG	NA	2683.03187663	1	8.025-9.581	28632.24	NA
Output_software_@IgG	IgG	NA	2684.95857663	1	8.025-9.581	5952.08	NA
Output_software_@IgG	IgG	NA	2687.00657663	1	8.025-9.581	16081.12	NA
Output_software_@IgG	IgG	NA	2688.96297663	1	8.025-9.581	6660.12	NA
Output_software_@IgG	IgG	NA	2689.98507663	1	8.025-9.581	9353.89	NA
Output_software_@IgG	IgG	NA	2693.02997663	1	8.025-9.581	15379.57	NA
Output_software_@IgG	IgG	NA	2695.91837663	2	8.025-9.581	4697.75	NA
Output_software_@IgG	IgG	NA	2696.05227663	1	8.025-9.581	4790.47	NA
Output_software_@IgG	IgG	NA	2698.04127663	1	8.025-9.581	11591.86	NA
Output_software_@IgG	IgG	NA	2701.02917663	1	8.025-9.581	9279.01	NA
Output_software_@IgG	IgG	NA	2702.94137663	1	8.025-9.581	3047.61	NA
Output_software_@IgG	IgG	NA	2704.00937663	1	8.025-9.581	10373.88	NA
Output_software_@IgG	IgG	NA	2707.04957663	1	8.025-9.581	5748.98	NA
Output_software_@IgG	IgG	NA	2709.04757663	1	8.025-9.581	11421.54	NA
Output_software_@IgG	IgG	NA	2709.07107663	1	8.025-9.581	3921.08	NA
Output_software_@IgG	IgG	NA	2710.89357663	1	8.025-9.581	2716.6	NA
Output_software_@IgG	IgG	NA	2713.05177663	1	8.025-9.581	4655.74	NA
Output_software_@IgG	IgG	NA	2715.03997663	1	8.025-9.581	7802.4	NA
Output_software_@IgG	IgG	NA	2718.01377663	1	8.025-9.581	17256.18	NA
Output_software_@IgG	IgG	NA	2721.03427663	1	8.025-9.581	7665.05	NA
Output_software_@IgG	IgG	NA	2724.06267663	1	8.025-9.581	1483.14	NA
Output_software_@IgG	IgG	H4N3XF@AMXF_	2725.06307663	2	8.025-9.581	32079.66	0.218649672866769
Output_software_@IgG	IgG	H7N2@Man7	2730.04327663	2	8.025-9.581	175151.89	1.19380640101848
Output_software_@IgG	IgG	NA	2738.07947663	1	8.025-9.581	7604.29	NA
Output_software_@IgG	IgG	NA	2741.05847663	2	8.025-9.581	90255.74	NA
